imdb_id,alias
tt0111161,En verden udenfor
tt0111161,Cadena Perpetua
tt0111161,A remény rabjai
tt0111161,Um Sonho de Liberdade
tt0111161,Les évadés
tt0111161,Rita Hayworth - Avain pakoon
tt0111161,Rita Hayworth - nyckel till flykten
tt0111161,À l'ombre de Shawshank
tt0111161,Vykoupení z věznice Shawshank
tt0111161,Vykúpenie z väznice Shawshank
tt0111161,Nyckeln Till Frihet
tt0111161,Esaretin bedeli
tt0111161,Frihetens Regn
tt0111161,Die Verurteilten
tt0111161,Os Condenados de Shawshank
tt0111161,肖申克的救赎
tt0111161,Sueños de libertad
tt0111161,Изкуплението Шоушенк
tt0111161,Sueños de fuga
tt0111161,Xiao shen ke de jiu shu
tt0111161,Shawshanki lunastus
tt0111161,Gaqceva shoushenkidan
tt0111161,Τελευταία Έξοδος Ρίτα Χέϊγουόρθ
tt0111161,Iskupljenje u Shawshanku
tt0111161,Homot Shel Tikva
tt0111161,Rastgari Dar Shawshank
tt0111161,The Shawshank Redemption
tt0111161,Le ali della libertà
tt0111161,Shôshanku no sora ni
tt0111161,Pabegimas is Sousenko
tt0111161,De ontsnapping
tt0111161,Frihetens regn
tt0111161,Skazani na Shawshank
tt0111161,Inchisoarea Ingerilor
tt0111161,Побег из Шоушенка
tt0111161,Nyckeln till frihet
tt0111161,Kaznilnica odresitve
tt0111161,Esaretin Bedeli
tt0111161,Втеча з Шоушенка
tt0111161,쇼생크 탈출
tt0111161,The Shawshank Redemption - Stephen King
tt0111161,Shoushenkden Qacish
tt0111161,Nhà tù Shawshank
tt0111161,Cadena perpetua
tt0111161,Τελευταία Έξοδος: Ρίτα Χέιγουορθ
tt0111161,Le ali della libertà (1994)
tt0111161,رستگاری در شاوشنک
tt0111161,刺激1995
tt0111161,Shawshank Redemption – Avain pakoon
tt0111161,Sueño de fuga
tt0111161,The Shawshank redemption - À l'ombre de Shawshank - 1994 FR
tt0111161,Şouşenkdən qaçış
tt0111161,חומות של תקווה
tt0111161,ショーシャンクの空に
tt0111161,Искупление Шоушенком
tt0111161,En Verden Udenfor
tt0111161,Le ali della liberta (the Shawshank Redemption)
tt0111161,Le ali della liberta
tt0068646,The Godfather Part I
tt0068646,El Padrino I
tt0068646,The Godfather Part 1
tt0068646,Mario Puzo's The Godfather
tt0068646,The Godfather: The Coppola Restoration
tt0068646,Ojciec Chrzestny
tt0068646,Der Pate
tt0068646,教父
tt0068646,Der Pate Vol 1
tt0068646,Крестный отец 1
tt0068646,Der Pate Teil I
tt0068646,The Godfather: Part I
tt0068646,Le Parrain 1
tt0068646,O Poderoso Chefão
tt0068646,The Godfather 1
tt0068646,Il Padrino - Parte I
tt0068646,대부
tt0068646,O Padrinho
tt0068646,"Godfather, The"
tt0068646,Ο Νονός
tt0068646,Il Padrino (1972)
tt0068646,Крёстный отец 1
tt0068646,Крёстный отец
tt0068646,El padrino
tt0068646,Der Pate - Teil 1
tt0068646,O Poderoso Chefão 1
tt0068646,Der Pate - Teil I - The Godfather
tt0068646,"The Godfather, Part 1"
tt0068646,Kmotr I
tt0068646,"Godfather, the 01 Godfather, The"
tt0068646,EL PADRINO
tt0068646,Крестный отец
tt0068646,De Peetvader
tt0068646,پدرخوانده
tt0068646,Godfather the 01 Godfather The
tt0068646,Der Pate - Teil I
tt0068646,Il Padrino
tt0068646,द गॉडफ़ादर
tt0068646,Kum
tt0068646,Le Parrain - 1ère partie
tt0068646,Gudfadern
tt0068646,"Mario Puzo's The Godfather, Coda: The Death of Michael Corleone"
tt0068646,Gudfaren
tt0068646,The Godfather
tt0068646,The Godfather (1972)
tt0068646,教父1
tt0068646,"Godfather 1, The (1972)"
tt0068646,O Poderoso Chefão I
tt0071562,The Godfather Part 2
tt0071562,Der Pate 2
tt0071562,"Godfather, The - Part II"
tt0071562,El Padrino II
tt0071562,"Le parrain, 2ème partie"
tt0071562,Il Padrino Parte II
tt0071562,Крестный отец 2
tt0071562,O Padrinho: Parte II
tt0071562,O Poderoso Chefão - Parte II
tt0071562,Mario Puzo's The Godfather: Part II
tt0071562,"Gudfadern, del II"
tt0071562,Gudfaren 2
tt0071562,"Kummisetä, osa II"
tt0071562,Ojciec Chrzestny II
tt0071562,Baba 2
tt0071562,Kmotr II
tt0071562,Le Parrain 2
tt0071562,The Godfather 2
tt0071562,El padrino. Parte II
tt0071562,Der Pate Vol 2
tt0071562,教父续集
tt0071562,教父 II
tt0071562,"Godfather, Part II, The"
tt0071562,"The Godfather, Part II"
tt0071562,"Godfather - Part II, The"
tt0071562,The Godfather: Part II
tt0071562,대부 2
tt0071562,"Ο Νονός, Μέρος 2ο"
tt0071562,Il Padrino (1974)
tt0071562,O Poderoso Chefão: Parte 2
tt0071562,Крёстный отец 2
tt0071562,O Poderoso Chefão 2
tt0071562,The Godfather - Part II
tt0071562,El padrino parte II
tt0071562,教父 2
tt0071562,O Poderoso Chefão: Parte II
tt0071562,El Padrino. Parte 2
tt0071562,El Padrino 2
tt0071562,El Padrino. Parte II
tt0071562,O Poderoso Chefão II
tt0071562,"El Padrino, Parte 2"
tt0071562,"Godfather, the 02 Godfather Part Ii, The"
tt0071562,De Peetvader Deel II
tt0071562,Godfather the 02 Godfather Part Ii The
tt0071562,Der Pate - Teil II
tt0071562,द गॉडफ़ादर: पार्ट 2
tt0071562,Le Parrain - 2ème partie
tt0071562,Gudfadern del II
tt0071562,"Godfather 2, The (1974)"
tt0468569,Il cavaliere oscuro
tt0468569,Mroczny rycerz
tt0468569,黑暗骑士
tt0468569,Batman: The Dark Knight
tt0468569,Batman The Dark Knight
tt0468569,Batman 2 - Dark Knight
tt0468569,Batman - O Cavaleiro das Trevas
tt0468569,Batman 2: El caballero de la noche
tt0468569,Batman - El caballero de la noche
tt0468569,The Dark Knight
tt0468569,Ο Σκοτεινός Ιππότης
tt0468569,Темний лицар
tt0468569,El Caballero Oscuro
tt0468569,El Caballero de la Noche
tt0468569,Batman 2 - The Dark Knight
tt0468569,Le chevalier noir
tt0468569,Batman Dark Knight 2: The Dark Knight
tt0468569,다크 나이트
tt0468569,The Dark Night
tt0468569,"Dark Knight, The"
tt0468569,Batman - Il Cavaliere Oscuro
tt0468569,Batman 6 - The Dark Knight (2008)
tt0468569,Batman 6 - The Dark Knight
tt0468569,Batman 6
tt0468569,Batman II - The Dark Knight
tt0468569,شوالیه تاریکی
tt0468569,Темный рыцарь
tt0468569,黑暗騎士
tt0468569,Batman the Dark Knight
tt0468569,ダークナイト
tt0468569,Batman 2 -The Dark Knight
tt0468569,Batman 6 - Le chevalier noir
tt0468569,Batman 06 The Dark Knight
tt0468569,Batman. El caballero oscuro
tt0468569,Dark Knight - The Dark Knight
tt0468569,Batman Dark Knight 2 - The Dark Knight
tt0468569,The Dark Knight : Le Chevalier noir
tt0468569,배트맨 다크 나이트
tt0468569,The Dark Knight IMAX
tt0468569,Batman O Cavaleiro das Trevas
tt0468569,"Batman, Le Chevalier Noir"
tt0050083,Twelve Angry Men
tt0050083,La Parola ai Giurati
tt0050083,12 hommes en colère
tt0050083,Tizenkét dühös ember
tt0050083,Die 12 Geschworenen
tt0050083,12 Homens e uma Sentença
tt0050083,Doze Homens e uma Sentença
tt0050083,十二怒漢
tt0050083,doce hombres sin piedad
tt0050083,Douze hommes en colère
tt0050083,12 hombres en pugna
tt0050083,Doce hombres sin piedad
tt0050083,12 разгневени мъже
tt0050083,Οι δώδεκα ένορκοι
tt0050083,Dwunastu gniewnych ludzi
tt0050083,12 Kızgın Adam
tt0050083,Valamiesten ratkaisu
tt0050083,Die zwölf Geschworenen
tt0050083,12 edsvorne menn
tt0050083,12명의 성난 사람들
tt0050083,12 مرد خشمگین
tt0050083,De Twaalf Gezworenen
tt0050083,Dvanáct rozhněvaných mužů
tt0050083,12 edsvurna män
tt0050083,12 Angry Men Die 12 Geschworenen
tt0050083,12 hombres sin piedad
tt0108052,Schindlerův seznam
tt0108052,Schindlerov zoznam
tt0108052,A Lista de Schindler
tt0108052,La Liste de Schindler
tt0108052,辛特勒的名單
tt0108052,Schindlers List
tt0108052,シンドラーのリスト
tt0108052,Η Λίστα Του Σίντλερ
tt0108052,辛德勒的名单
tt0108052,La lista de Schindler
tt0108052,쉰들러 리스트
tt0108052,1993 - Schindler's List
tt0108052,"1993 - Schindler's List[Liam Neeson] [2,05 GB]"
tt0108052,قائمة شندلر
tt0108052,Lista Schindlera
tt0167260,The Return of the King
tt0167260,Lord of The Rings III - The Return of The King
tt0167260,The Lord of the Rings 3 - The Return of the King
tt0167260,Il signore degli anelli - Il ritorno del Re
tt0167260,Il signore degli anelli III - Il ritorno del Re
tt0167260,El Señor de los Anillos: El Retorno del Rey
