ranking,imdb_id,director,actor 1,actior 2,rating,
1,tt0111161,Frank Darabont (dir.),Tim Robbins, Morgan Freeman,9.220649578673955,
2,tt0068646,Francis Ford Coppola (dir.),Marlon Brando, Al Pacino,9.14744669786617,
3,tt0071562,Francis Ford Coppola (dir.),Al Pacino, Robert De Niro,8.980915536629867,
4,tt0468569,Christopher Nolan (dir.),Christian Bale, Heath Ledger,8.97405415507201,
5,tt0050083,Sidney Lumet (dir.),Henry Fonda, Lee J. Cobb,8.940342076396444,
6,tt0108052,Steven Spielberg (dir.),Liam Neeson, Ralph Fiennes,8.9114722229239,
7,tt0167260,Peter Jackson (dir.),Elijah Wood, Viggo Mortensen,8.889461600150677,
8,tt0110912,Quentin Tarantino (dir.),John Travolta, Uma Thurman,8.83518886386038,
9,tt0060196,Sergio Leone (dir.),Clint Eastwood, Eli Wallach,8.785609433917852,
10,tt0120737,Peter Jackson (dir.),Elijah Wood, Ian McKellen,8.779529298627637,
11,tt0137523,David Fincher (dir.),Brad Pitt, Edward Norton,8.75105153357993,
12,tt0109830,Robert Zemeckis (dir.),Tom Hanks, Robin Wright,8.743912646057993,
13,tt1375666,Christopher Nolan (dir.),Leonardo DiCaprio, Joseph Gordon-Levitt,8.71464798366606,
14,tt0167261,Peter Jackson (dir.),Elijah Wood, Ian McKellen,8.70298654888579,
15,tt0080684,Irvin Kershner (dir.),Mark Hamill, Harrison Ford,8.6946608802402,
16,tt0133093,Lana Wachowski (dir.),Keanu Reeves, Laurence Fishburne,8.645519020122986,
17,tt0099685,Martin Scorsese (dir.),Robert De Niro, Ray Liotta,8.644250778600686,
18,tt0073486,Milos Forman (dir.),Jack Nicholson, Louise Fletcher,8.634964321494847,
19,tt0047478,Akira Kurosawa (dir.),Toshirô Mifune, Takashi Shimura,8.6087934932864,
20,tt0114369,David Fincher (dir.),Morgan Freeman, Brad Pitt,8.58716936397029,
21,tt0102926,Jonathan Demme (dir.),Jodie Foster, Anthony Hopkins,8.57717335426747,
22,tt0317248,Fernando Meirelles (dir.),Alexandre Rodrigues, Leandro Firmino,8.576191188180035,
23,tt0118799,Roberto Benigni (dir.),Roberto Benigni, Nicoletta Braschi,8.574711998613287,
24,tt0038650,Frank Capra (dir.),James Stewart, Donna Reed,8.574101517697638,
25,tt0076759,George Lucas (dir.),Mark Hamill, Harrison Ford,8.55110593117862,
26,tt0120815,Steven Spielberg (dir.),Tom Hanks, Matt Damon,8.550261807329038,
27,tt0816692,Christopher Nolan (dir.),Matthew McConaughey, Anne Hathaway,8.541080883149673,
28,tt0245429,Hayao Miyazaki (dir.),Daveigh Chase, Suzanne Pleshette,8.538965498671237,
29,tt0120689,Frank Darabont (dir.),Tom Hanks, Michael Clarke Duncan,8.53612220632849,
30,tt6751668,Bong Joon Ho (dir.),Kang-ho Song, Sun-kyun Lee,8.527100845281225,
31,tt0110413,Luc Besson (dir.),Jean Reno, Gary Oldman,8.498508668943185,
32,tt0056058,Masaki Kobayashi (dir.),Tatsuya Nakadai, Akira Ishihama,8.494098682155078,
33,tt0253474,Roman Polanski (dir.),Adrien Brody, Thomas Kretschmann,8.490073908706991,
34,tt0103064,James Cameron (dir.),Arnold Schwarzenegger, Linda Hamilton,8.485088226213454,
35,tt0114814,Bryan Singer (dir.),Kevin Spacey, Gabriel Byrne,8.485046793515254,
36,tt0088763,Robert Zemeckis (dir.),Michael J. Fox, Christopher Lloyd,8.484264788958834,
37,tt0054215,Alfred Hitchcock (dir.),Anthony Perkins, Janet Leigh,8.482382452279795,
38,tt0110357,Roger Allers (dir.),Matthew Broderick, Jeremy Irons,8.48111074711853,
39,tt0027977,Charles Chaplin (dir.),Charles Chaplin, Paulette Goddard,8.479255634189824,
40,tt0120586,Tony Kaye (dir.),Edward Norton, Edward Furlong,8.473479148380198,
41,tt0095327,Isao Takahata (dir.),Tsutomu Tatsumi, Ayano Shiraishi,8.471415810072113,
42,tt0021749,Charles Chaplin (dir.),Charles Chaplin, Virginia Cherrill,8.470012831116287,
43,tt2582802,Damien Chazelle (dir.),Miles Teller, J.K. Simmons,8.469205571091793,
44,tt0172495,Ridley Scott (dir.),Russell Crowe, Joaquin Phoenix,8.468737373780444,
45,tt0407887,Martin Scorsese (dir.),Leonardo DiCaprio, Matt Damon,8.466813676611874,
46,tt1675434,Olivier Nakache (dir.),François Cluzet, Omar Sy,8.459316535372443,
47,tt0482571,Christopher Nolan (dir.),Christian Bale, Hugh Jackman,8.453290378170585,
48,tt0034583,Michael Curtiz (dir.),Humphrey Bogart, Ingrid Bergman,8.449637230710737,
49,tt0064116,Sergio Leone (dir.),Henry Fonda, Charles Bronson,8.447036909271086,
50,tt0047396,Alfred Hitchcock (dir.),James Stewart, Grace Kelly,8.439573847115454,
51,tt0095765,Giuseppe Tornatore (dir.),Philippe Noiret, Enzo Cannavale,8.436220880586559,
52,tt0078748,Ridley Scott (dir.),Sigourney Weaver, Tom Skerritt,8.422677424819181,
53,tt0078788,Francis Ford Coppola (dir.),Martin Sheen, Marlon Brando,8.417590505803851,
